2025/07/23 11:49:41.590, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 63, 2340 MHz, 448.26 W
2025/07/23 11:51:10.905, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2280 MHz, 447.81 W
2025/07/23 11:51:13.217, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2310 MHz, 448.43 W
2025/07/23 11:51:15.530, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2265 MHz, 449.56 W
2025/07/23 11:51:17.821, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2265 MHz, 447.10 W
2025/07/23 11:51:20.106, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2280 MHz, 449.92 W
2025/07/23 11:51:22.389, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2280 MHz, 448.49 W
2025/07/23 11:51:24.677, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2280 MHz, 450.26 W
2025/07/23 11:51:26.962, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2310 MHz, 448.91 W
2025/07/23 11:51:29.248, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2280 MHz, 449.48 W
2025/07/23 11:51:31.525, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2310 MHz, 445.50 W
2025/07/23 11:51:33.832, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 450.23 W
2025/07/23 11:51:36.134, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2310 MHz, 448.67 W
2025/07/23 11:51:38.434, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2325 MHz, 449.84 W
2025/07/23 11:51:40.719, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2280 MHz, 447.64 W
2025/07/23 11:51:43.004, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2265 MHz, 448.31 W
2025/07/23 11:51:45.290, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 447.70 W
2025/07/23 11:51:47.575, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2280 MHz, 447.66 W
2025/07/23 11:51:49.859, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2295 MHz, 448.19 W
2025/07/23 11:51:52.148, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2235 MHz, 446.94 W
2025/07/23 11:51:54.456, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2265 MHz, 448.28 W
2025/07/23 11:51:56.785, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2310 MHz, 446.64 W
2025/07/23 11:51:59.070, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 73, 2325 MHz, 446.83 W
2025/07/23 11:52:01.369, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2325 MHz, 447.53 W
2025/07/23 11:52:03.646, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2265 MHz, 447.37 W
2025/07/23 11:52:05.923, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 447.40 W
2025/07/23 11:52:08.196, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 448.55 W
2025/07/23 11:52:10.473, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 446.83 W
2025/07/23 11:52:12.755, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2295 MHz, 448.63 W
2025/07/23 11:52:15.058, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2250 MHz, 446.74 W
2025/07/23 11:52:17.357, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2265 MHz, 449.29 W
2025/07/23 11:52:19.644, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 448.88 W
2025/07/23 11:52:21.937, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2295 MHz, 449.52 W
2025/07/23 11:52:24.224, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2265 MHz, 446.54 W
2025/07/23 11:52:26.510, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 72, 2310 MHz, 451.59 W
2025/07/23 11:52:28.799, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 446.14 W
2025/07/23 11:52:31.084, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 452.01 W
2025/07/23 11:52:33.379, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 448.31 W
2025/07/23 11:52:35.691, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 451.55 W
2025/07/23 11:52:38.012, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2235 MHz, 447.97 W
2025/07/23 11:52:40.298, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2220 MHz, 452.07 W
2025/07/23 11:52:42.594, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2310 MHz, 448.35 W
2025/07/23 11:52:44.878, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2310 MHz, 451.20 W
2025/07/23 11:52:47.165, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2415 MHz, 448.28 W
2025/07/23 11:52:49.453, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2460 MHz, 448.75 W
2025/07/23 11:52:51.736, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 447.48 W
2025/07/23 11:52:54.024, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2295 MHz, 448.15 W
2025/07/23 11:52:56.327, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2295 MHz, 448.54 W
2025/07/23 11:52:58.634, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2265 MHz, 447.01 W
2025/07/23 11:53:00.934, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2265 MHz, 447.38 W
2025/07/23 11:53:03.221, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2295 MHz, 447.70 W
2025/07/23 11:53:05.510, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2235 MHz, 446.08 W
2025/07/23 11:53:07.791, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2310 MHz, 447.23 W
2025/07/23 11:53:10.077, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 448.10 W
2025/07/23 11:53:12.360, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2490 MHz, 447.70 W
2025/07/23 11:53:14.648, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 448.89 W
2025/07/23 11:53:16.941, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 447.44 W
2025/07/23 11:53:19.250, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 448.75 W
2025/07/23 11:53:21.548, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2265 MHz, 448.13 W
2025/07/23 11:53:23.835, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 77, 2265 MHz, 448.83 W
2025/07/23 11:53:26.122, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2310 MHz, 446.09 W
2025/07/23 11:53:28.412, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 448.83 W
2025/07/23 11:53:30.704, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 73, 2310 MHz, 446.78 W
2025/07/23 11:53:32.995, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 76, 2310 MHz, 448.83 W
2025/07/23 11:53:35.283, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 448.25 W
2025/07/23 11:53:37.590, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 450.82 W
2025/07/23 11:53:39.908, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 447.56 W
2025/07/23 11:53:42.209, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2265 MHz, 449.50 W
2025/07/23 11:53:44.494, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 447.77 W
2025/07/23 11:53:46.779, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2265 MHz, 450.92 W
2025/07/23 11:53:49.065, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2310 MHz, 447.94 W
2025/07/23 11:53:51.348, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 451.82 W
2025/07/23 11:53:53.633, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2295 MHz, 447.03 W
2025/07/23 11:53:55.917, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2325 MHz, 451.12 W
2025/07/23 11:53:58.226, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 447.61 W
2025/07/23 11:54:00.548, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 449.05 W
2025/07/23 11:54:02.850, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 447.80 W
2025/07/23 11:54:05.137, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2295 MHz, 448.63 W
2025/07/23 11:54:07.424, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2295 MHz, 447.35 W
2025/07/23 11:54:09.709, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2250 MHz, 447.74 W
2025/07/23 11:54:11.997, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2235 MHz, 447.11 W
2025/07/23 11:54:14.284, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2310 MHz, 447.57 W
2025/07/23 11:54:16.576, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2340 MHz, 447.42 W
2025/07/23 11:54:18.871, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2490 MHz, 447.71 W
2025/07/23 11:54:21.181, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2265 MHz, 446.93 W
2025/07/23 11:54:23.485, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2280 MHz, 446.25 W
2025/07/23 11:54:25.781, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2295 MHz, 443.92 W
2025/07/23 11:54:28.078, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2265 MHz, 447.14 W
2025/07/23 11:54:30.364, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 78, 2265 MHz, 449.05 W
2025/07/23 11:54:32.635, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 100 %, 66, 2610 MHz, 366.35 W
2025/07/23 11:54:34.904, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 0 %, 64, 2610 MHz, 89.07 W
2025/07/23 11:54:37.698, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 0 %, 60, 2520 MHz, 80.09 W
2025/07/23 11:54:39.968, NVIDIA GeForce RTX 4090, 00000000:E1:00.0, 0 %, 58, 450 MHz, 56.79 W
