2025/07/23 11:49:41.554, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 66, 2370 MHz, 448.74 W
2025/07/23 11:50:22.712, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 76, 2295 MHz, 451.02 W
2025/07/23 11:50:24.998, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 77, 2280 MHz, 447.67 W
2025/07/23 11:50:27.285, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 78, 2280 MHz, 449.74 W
2025/07/23 11:50:29.595, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 78, 2325 MHz, 447.49 W
2025/07/23 11:50:31.906, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 78, 2325 MHz, 449.29 W
2025/07/23 11:50:34.196, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 74, 2325 MHz, 446.22 W
2025/07/23 11:50:36.495, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 78, 2280 MHz, 449.85 W
2025/07/23 11:50:38.779, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 78, 2310 MHz, 448.58 W
2025/07/23 11:50:41.063, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 78, 2280 MHz, 449.94 W
2025/07/23 11:50:43.346, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 78, 2280 MHz, 448.50 W
2025/07/23 11:50:45.631, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 79, 2295 MHz, 449.82 W
2025/07/23 11:50:47.919, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 79, 2280 MHz, 449.59 W
2025/07/23 11:50:50.224, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 79, 2310 MHz, 448.80 W
2025/07/23 11:50:52.541, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 80, 2265 MHz, 448.31 W
2025/07/23 11:50:54.842, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 79, 2280 MHz, 449.82 W
2025/07/23 11:50:57.135, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 80, 2325 MHz, 447.74 W
2025/07/23 11:50:59.423, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 80, 2250 MHz, 449.14 W
2025/07/23 11:51:01.710, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 78, 2325 MHz, 447.81 W
2025/07/23 11:51:03.998, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 80, 2280 MHz, 448.29 W
2025/07/23 11:51:06.283, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 80, 2475 MHz, 448.54 W
2025/07/23 11:51:08.569, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 80, 2280 MHz, 449.38 W
2025/07/23 11:51:10.871, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 80, 2280 MHz, 448.57 W
2025/07/23 11:51:13.181, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 447.42 W
2025/07/23 11:51:15.485, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 447.13 W
2025/07/23 11:51:17.785, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 80, 2280 MHz, 446.28 W
2025/07/23 11:51:20.072, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2235 MHz, 446.90 W
2025/07/23 11:51:22.353, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2250 MHz, 449.04 W
2025/07/23 11:51:24.642, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 448.32 W
2025/07/23 11:51:26.927, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2295 MHz, 449.55 W
2025/07/23 11:51:29.213, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2325 MHz, 447.79 W
2025/07/23 11:51:31.492, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 76, 2325 MHz, 449.22 W
2025/07/23 11:51:33.798, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 447.92 W
2025/07/23 11:51:36.090, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 448.80 W
2025/07/23 11:51:38.397, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 447.55 W
2025/07/23 11:51:40.684, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2295 MHz, 448.69 W
2025/07/23 11:51:42.969, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 448.18 W
2025/07/23 11:51:45.255, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2265 MHz, 451.49 W
2025/07/23 11:51:47.540, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2295 MHz, 448.30 W
2025/07/23 11:51:49.823, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2250 MHz, 451.27 W
2025/07/23 11:51:52.113, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2325 MHz, 448.42 W
2025/07/23 11:51:54.422, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 82, 2295 MHz, 450.74 W
2025/07/23 11:51:56.742, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 77, 2295 MHz, 448.89 W
2025/07/23 11:51:59.033, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 450.59 W
2025/07/23 11:52:01.334, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 448.62 W
2025/07/23 11:52:03.613, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 82, 2280 MHz, 451.11 W
2025/07/23 11:52:05.889, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 449.39 W
2025/07/23 11:52:08.163, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2265 MHz, 450.85 W
2025/07/23 11:52:10.439, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 447.59 W
2025/07/23 11:52:12.722, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2235 MHz, 447.91 W
2025/07/23 11:52:15.024, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2310 MHz, 447.14 W
2025/07/23 11:52:17.315, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2310 MHz, 448.50 W
2025/07/23 11:52:19.609, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 76, 2430 MHz, 446.51 W
2025/07/23 11:52:21.902, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2325 MHz, 448.38 W
2025/07/23 11:52:24.189, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 445.96 W
2025/07/23 11:52:26.475, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2265 MHz, 447.73 W
2025/07/23 11:52:28.764, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2295 MHz, 447.53 W
2025/07/23 11:52:31.049, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 448.01 W
2025/07/23 11:52:33.345, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2295 MHz, 447.30 W
2025/07/23 11:52:35.656, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2250 MHz, 446.83 W
2025/07/23 11:52:37.970, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 449.61 W
2025/07/23 11:52:40.261, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 82, 2325 MHz, 448.01 W
2025/07/23 11:52:42.558, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2325 MHz, 448.64 W
2025/07/23 11:52:44.844, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2310 MHz, 449.00 W
2025/07/23 11:52:47.130, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2295 MHz, 445.28 W
2025/07/23 11:52:49.417, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2295 MHz, 447.76 W
2025/07/23 11:52:51.701, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 444.59 W
2025/07/23 11:52:53.988, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 447.72 W
2025/07/23 11:52:56.291, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2295 MHz, 444.63 W
2025/07/23 11:52:58.599, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 447.55 W
2025/07/23 11:53:00.890, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 445.88 W
2025/07/23 11:53:03.186, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2250 MHz, 448.39 W
2025/07/23 11:53:05.475, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2250 MHz, 445.95 W
2025/07/23 11:53:07.757, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2325 MHz, 447.72 W
2025/07/23 11:53:10.043, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2295 MHz, 445.54 W
2025/07/23 11:53:12.326, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 76, 2520 MHz, 447.47 W
2025/07/23 11:53:14.612, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2295 MHz, 449.42 W
2025/07/23 11:53:16.907, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 446.46 W
2025/07/23 11:53:19.216, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 449.07 W
2025/07/23 11:53:21.498, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 447.08 W
2025/07/23 11:53:23.800, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 449.11 W
2025/07/23 11:53:26.088, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2250 MHz, 448.32 W
2025/07/23 11:53:28.377, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2235 MHz, 449.72 W
2025/07/23 11:53:30.669, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 82, 2280 MHz, 448.24 W
2025/07/23 11:53:32.958, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 82, 2295 MHz, 446.97 W
2025/07/23 11:53:35.248, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 80, 2325 MHz, 448.44 W
2025/07/23 11:53:37.552, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 448.33 W
2025/07/23 11:53:39.873, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 447.06 W
2025/07/23 11:53:42.172, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 82, 2295 MHz, 448.90 W
2025/07/23 11:53:44.459, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 446.91 W
2025/07/23 11:53:46.743, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 449.14 W
2025/07/23 11:53:49.030, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2265 MHz, 448.19 W
2025/07/23 11:53:51.313, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2265 MHz, 450.75 W
2025/07/23 11:53:53.598, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 82, 2310 MHz, 447.78 W
2025/07/23 11:53:55.883, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 82, 2280 MHz, 450.30 W
2025/07/23 11:53:58.192, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2340 MHz, 448.52 W
2025/07/23 11:54:00.512, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 449.41 W
2025/07/23 11:54:02.813, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 82, 2280 MHz, 448.11 W
2025/07/23 11:54:05.102, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 82, 2280 MHz, 450.45 W
2025/07/23 11:54:07.389, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 446.58 W
2025/07/23 11:54:09.674, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 82, 2310 MHz, 450.18 W
2025/07/23 11:54:11.962, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 82, 2295 MHz, 449.31 W
2025/07/23 11:54:14.250, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2265 MHz, 450.19 W
2025/07/23 11:54:16.540, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 82, 2280 MHz, 449.11 W
2025/07/23 11:54:18.836, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 82, 2310 MHz, 449.20 W
2025/07/23 11:54:21.147, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2310 MHz, 448.21 W
2025/07/23 11:54:23.440, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 82, 2310 MHz, 449.20 W
2025/07/23 11:54:25.745, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2400 MHz, 448.71 W
2025/07/23 11:54:28.043, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 82, 2280 MHz, 450.21 W
2025/07/23 11:54:30.329, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 81, 2280 MHz, 449.20 W
2025/07/23 11:54:32.603, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 100 %, 69, 2610 MHz, 311.16 W
2025/07/23 11:54:34.871, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 0 %, 65, 2520 MHz, 91.63 W
2025/07/23 11:54:37.665, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 0 %, 63, 2520 MHz, 82.09 W
2025/07/23 11:54:39.936, NVIDIA GeForce RTX 4090, 00000000:C1:00.0, 0 %, 60, 495 MHz, 65.14 W
