2025/07/23 11:49:41.519, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 63, 2340 MHz, 449.68 W
2025/07/23 11:51:22.319, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 79, 2250 MHz, 447.46 W
2025/07/23 11:51:24.606, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2280 MHz, 449.38 W
2025/07/23 11:51:26.892, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 79, 2250 MHz, 448.72 W
2025/07/23 11:51:29.178, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2250 MHz, 447.80 W
2025/07/23 11:51:31.458, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 79, 2235 MHz, 446.42 W
2025/07/23 11:51:33.764, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2295 MHz, 448.55 W
2025/07/23 11:51:36.052, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 79, 2250 MHz, 448.07 W
2025/07/23 11:51:38.361, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2235 MHz, 448.62 W
2025/07/23 11:51:40.649, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2280 MHz, 448.79 W
2025/07/23 11:51:42.934, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2280 MHz, 447.88 W
2025/07/23 11:51:45.220, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2235 MHz, 450.99 W
2025/07/23 11:51:47.504, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 448.81 W
2025/07/23 11:51:49.788, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2280 MHz, 447.87 W
2025/07/23 11:51:52.079, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2265 MHz, 448.07 W
2025/07/23 11:51:54.387, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2310 MHz, 447.64 W
2025/07/23 11:51:56.700, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2250 MHz, 447.05 W
2025/07/23 11:51:58.998, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2265 MHz, 448.14 W
2025/07/23 11:52:01.299, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2265 MHz, 448.79 W
2025/07/23 11:52:03.579, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2235 MHz, 447.79 W
2025/07/23 11:52:05.855, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2205 MHz, 449.62 W
2025/07/23 11:52:08.129, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2325 MHz, 448.25 W
2025/07/23 11:52:10.406, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2280 MHz, 448.26 W
2025/07/23 11:52:12.688, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2250 MHz, 447.36 W
2025/07/23 11:52:14.990, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2250 MHz, 447.73 W
2025/07/23 11:52:17.279, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2265 MHz, 448.05 W
2025/07/23 11:52:19.576, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2235 MHz, 448.56 W
2025/07/23 11:52:21.866, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2235 MHz, 448.61 W
2025/07/23 11:52:24.154, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2295 MHz, 447.53 W
2025/07/23 11:52:26.440, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2295 MHz, 449.70 W
2025/07/23 11:52:28.729, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2250 MHz, 449.04 W
2025/07/23 11:52:31.014, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 448.34 W
2025/07/23 11:52:33.311, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 446.61 W
2025/07/23 11:52:35.622, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2235 MHz, 451.06 W
2025/07/23 11:52:37.925, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2265 MHz, 448.07 W
2025/07/23 11:52:40.226, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2265 MHz, 447.03 W
2025/07/23 11:52:42.523, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2310 MHz, 446.28 W
2025/07/23 11:52:44.809, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2385 MHz, 448.78 W
2025/07/23 11:52:47.095, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 450.16 W
2025/07/23 11:52:49.382, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 447.06 W
2025/07/23 11:52:51.667, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2265 MHz, 451.31 W
2025/07/23 11:52:53.953, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2265 MHz, 448.19 W
2025/07/23 11:52:56.257, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 449.17 W
2025/07/23 11:52:58.551, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 76, 2370 MHz, 448.39 W
2025/07/23 11:53:00.853, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 76, 2295 MHz, 448.27 W
2025/07/23 11:53:03.152, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2250 MHz, 445.35 W
2025/07/23 11:53:05.440, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2235 MHz, 447.73 W
2025/07/23 11:53:07.723, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2265 MHz, 448.83 W
2025/07/23 11:53:10.007, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2220 MHz, 449.30 W
2025/07/23 11:53:12.291, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2235 MHz, 451.58 W
2025/07/23 11:53:14.577, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2265 MHz, 448.55 W
2025/07/23 11:53:16.874, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2295 MHz, 447.82 W
2025/07/23 11:53:19.166, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2265 MHz, 447.86 W
2025/07/23 11:53:21.462, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 447.54 W
2025/07/23 11:53:23.766, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2265 MHz, 446.54 W
2025/07/23 11:53:26.052, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2235 MHz, 449.31 W
2025/07/23 11:53:28.340, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 80, 2235 MHz, 448.08 W
2025/07/23 11:53:30.633, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2265 MHz, 448.57 W
2025/07/23 11:53:32.923, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2280 MHz, 450.06 W
2025/07/23 11:53:35.212, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 448.80 W
2025/07/23 11:53:37.518, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 449.72 W
2025/07/23 11:53:39.837, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 447.03 W
2025/07/23 11:53:42.126, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2280 MHz, 452.68 W
2025/07/23 11:53:44.425, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 446.83 W
2025/07/23 11:53:46.709, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 447.96 W
2025/07/23 11:53:48.994, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2280 MHz, 450.37 W
2025/07/23 11:53:51.278, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2475 MHz, 447.90 W
2025/07/23 11:53:53.563, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 449.82 W
2025/07/23 11:53:55.848, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 447.36 W
2025/07/23 11:53:58.157, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2265 MHz, 450.62 W
2025/07/23 11:54:00.476, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2265 MHz, 448.08 W
2025/07/23 11:54:02.767, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2220 MHz, 449.13 W
2025/07/23 11:54:05.067, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 77, 2295 MHz, 447.66 W
2025/07/23 11:54:07.354, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 76, 2295 MHz, 446.62 W
2025/07/23 11:54:09.639, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 444.92 W
2025/07/23 11:54:11.927, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 446.94 W
2025/07/23 11:54:14.212, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2235 MHz, 448.73 W
2025/07/23 11:54:16.506, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2235 MHz, 449.60 W
2025/07/23 11:54:18.802, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2265 MHz, 448.15 W
2025/07/23 11:54:21.113, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2280 MHz, 448.77 W
2025/07/23 11:54:23.404, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2280 MHz, 449.65 W
2025/07/23 11:54:25.710, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2265 MHz, 448.78 W
2025/07/23 11:54:27.998, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 452.52 W
2025/07/23 11:54:30.295, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 81, 2250 MHz, 448.59 W
2025/07/23 11:54:32.571, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 100 %, 69, 2655 MHz, 359.98 W
2025/07/23 11:54:34.838, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 0 %, 66, 2670 MHz, 108.20 W
2025/07/23 11:54:37.632, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 0 %, 62, 2520 MHz, 94.03 W
2025/07/23 11:54:39.902, NVIDIA GeForce RTX 4090, 00000000:A1:00.0, 0 %, 60, 540 MHz, 84.14 W
